2013,110000,北京市,19500.56,161.83,4352.3,3536.89,815.41,14986.43,883.58,2372.43,374.75,2822.07,1339.52,7194.08,0.8,22.3,76.9,93213,107.7,103,108.1,107.6
2012,110000,北京市,17879.4,150.2,4059.27,3294.32,764.95,13669.93,816.31,2229.77,373.06,2536.91,1244.17,6469.71,0.84,22.7,76.46,87475,107.7,103.2,107.5,107.9
2011,110000,北京市,16251.93,136.27,3752.48,3048.79,703.69,12363.18,808.95,2139.65,348.42,2215.41,1074.93,5775.82,0.8,23.1,76.1,81658,108.1,100.9,106.7,108.7
2010,110000,北京市,14113.58,124.36,3388.38,2763.99,624.39,10600.84,712.01,1888.51,317.34,1863.61,1006.52,4812.85,0.9,24,75.1,75943,110.3,98.4,113.7,109.3
2009,110000,北京市,12153.03,118.29,2855.55,2303.08,552.47,9179.19,556.64,1525.03,262.51,1603.63,1062.47,4168.91,1,23.5,75.5,70452,110.2,104.6,110.4,110.2
2008,110000,北京市,11115,112.81,2693.15,2198.49,494.66,7682.07,505.74,1060.92,277.52,1493.58,610.84,3733.47,1.1,25.7,73.2,63029,109.1,101.1,102.4,111.7
2007,110000,北京市,9846.81,101.26,2509.4,2082.76,426.64,6742.66,502.61,879.42,247.01,1286.28,644.24,3183.1,1.1,26.8,72.1,58204,114.5,102.2,112.7,113.7854
2006,110000,北京市,8117.78,98.04,2191.43,1821.86,369.57,5580.81,458.29,751.91,219.61,974.06,559.82,2617.12,1.3,27.8,70.9,50467,113,100.6,110.5,114.1
2005,110000,北京市,6969.52,97.99,2026.51,1707.04,319.47,4761.81,404.66,654.09,182.81,836.62,455.31,2228.32,1.4,29.5,69.1,45443.6929,112.1,99.2387,110.1294,113.0088
2004,110000,北京市,6060.28,102.9,1610.37,1290.16,320.21,2570.04,283.09,305.03,0,598.57,228.44,1154.91,2.4023,37.5964,60.0013,37058,114.1,101.9114,116.6504,111.6042
2003,110000,北京市,5023.77,95.64,1311.86,1032.03,279.83,2255.6,253.8,567.09,0,635.56,190.55,1441.15,2.6109,35.8128,61.5763,32061,111,103.3136,111.9155,110.8
